ngvsID,RA,DEC,U_MAG_APCOR1,G_MAG_APCOR1,R_MAG_APCOR1,I_MAG_APCOR1,Z_MAG_APCOR1,U_MAG_APCOR2,G_MAG_APCOR2,R_MAG_APCOR2,I_MAG_APCOR2,Z_MAG_APCOR2,U_MAG_APCOR3,G_MAG_APCOR3,R_MAG_APCOR3,I_MAG_APCOR3,Z_MAG_APCOR3,U_MAG_APCOR4,G_MAG_APCOR4,R_MAG_APCOR4,I_MAG_APCOR4,Z_MAG_APCOR4,U_MAG_APCOR5,G_MAG_APCOR5,R_MAG_APCOR5,I_MAG_APCOR5,Z_MAG_APCOR5,U_MAG_APCOR6,G_MAG_APCOR6,R_MAG_APCOR6,I_MAG_APCOR6,Z_MAG_APCOR6,U_MAG_APCOR7,G_MAG_APCOR7,R_MAG_APCOR7,I_MAG_APCOR7,Z_MAG_APCOR7,U_MAGERR_APER1,G_MAGERR_APER1,R_MAGERR_APER1,I_MAGERR_APER1,Z_MAGERR_APER1,U_MAGERR_APER2,G_MAGERR_APER2,R_MAGERR_APER2,I_MAGERR_APER2,Z_MAGERR_APER2,U_MAGERR_APER3,G_MAGERR_APER3,R_MAGERR_APER3,I_MAGERR_APER3,Z_MAGERR_APER3,U_MAGERR_APER4,G_MAGERR_APER4,R_MAGERR_APER4,I_MAGERR_APER4,Z_MAGERR_APER4,U_MAGERR_APER5,G_MAGERR_APER5,R_MAGERR_APER5,I_MAGERR_APER5,Z_MAGERR_APER5,U_MAGERR_APER6,G_MAGERR_APER6,R_MAGERR_APER6,I_MAGERR_APER6,Z_MAGERR_APER6,U_MAGERR_APER7,G_MAGERR_APER7,R_MAGERR_APER7,I_MAGERR_APER7,Z_MAGERR_APER7,U_MAGERR_APER8,G_MAGERR_APER8,R_MAGERR_APER8,I_MAGERR_APER8,Z_MAGERR_APER8,U_FLUX_RADIUS,G_FLUX_RADIUS,R_FLUX_RADIUS,I_FLUX_RADIUS,Z_FLUX_RADIUS,U_FLAGS,G_FLAGS,R_FLAGS,I_FLAGS,Z_FLAGS,U_CLASS_STAR,G_CLASS_STAR,R_CLASS_STAR,I_CLASS_STAR,Z_CLASS_STAR,U_KRON_RADIUS,G_KRON_RADIUS,R_KRON_RADIUS,I_KRON_RADIUS,Z_KRON_RADIUS,U_PETRO_RADIUS,G_PETRO_RADIUS,R_PETRO_RADIUS,I_PETRO_RADIUS,Z_PETRO_RADIUS
NGVS-J124414.50+110746.9,191.0604358,11.1297081,27.9954,26.5897,99.0,26.7487,26.0257,27.8156,26.5105,99.0,26.6976,26.6935,27.6239,26.5852,99.0,26.3367,27.1426,27.6595,26.6478,99.0,26.0991,26.0384,27.7981,26.7036,99.0,26.2042,25.5539,27.7632,26.7722,99.0,26.3831,25.2779,29.7175,26.9774,26.8001,26.5286,24.7299,1.2853,0.1835,5.4152,0.5903,0.9068,0.9178,0.1563,0.8722,0.5359,1.4879,0.6975,0.1635,0.7932,0.3905,2.1428,0.6974,0.1805,0.6278,0.3362,0.7898,0.7838,0.2005,0.511,0.3976,0.521,0.7774,0.2313,0.4716,0.5143,0.4296,6.8844,0.4871,1.1151,1.0391,0.4215,1.8563,0.377,1.0536,99.0,207.3444,1.994,1.658,2.697,2.038,3.15,0,0,0,0,0,0.35,0.35,0.05,0.19,0.3,7.35,7.35,7.35,7.35,7.35,10.56,10.56,10.56,10.56,10.56
NGVS-J124414.71+110814.4,191.0612853,11.1373224,28.2861,26.7126,99.0,25.8413,25.1474,27.3799,26.6797,99.0,25.8027,24.93,27.2974,26.5989,99.0,25.8563,24.8129,27.1329,26.477,99.0,26.0287,24.6638,26.9479,26.4228,99.0,26.2775,24.5847,26.6871,26.3166,99.0,26.4208,24.6746,26.532,26.0578,25.6873,26.1337,25.3572,1.6937,0.2073,0.4927,0.2591,0.4077,0.6127,0.1818,0.3589,0.2347,0.2923,0.5192,0.1665,0.2948,0.2523,0.2522,0.4285,0.154,0.2842,0.3139,0.222,0.3607,0.1559,0.3097,0.4273,0.2144,0.2882,0.1518,0.3086,0.53,0.2453,0.3671,0.2094,0.4005,0.7226,0.7505,0.5863,99.0,4.1775,99.0,1.3106,3.367,2.365,2.558,1.025,2.662,0,0,0,0,0,0.33,0.35,0.34,0.04,0.05,7.63,7.63,7.63,7.63,7.63,10.56,10.56,10.56,10.56,10.56
NGVS-J124414.72+110751.6,191.0613396,11.1310075,27.0982,26.6535,99.0,27.0454,99.0,27.0987,26.6628,99.0,26.8373,99.0,26.7652,26.7624,99.0,26.7991,99.0,26.4731,26.8503,99.0,27.0263,99.0,26.3642,26.7271,99.0,26.7905,99.0,26.363,26.5457,99.0,26.4324,99.0,25.909,26.1799,26.406,25.4164,99.0,0.5683,0.1956,99.0,0.7793,0.9898,0.4767,0.1798,3.6457,0.6101,1.1452,0.3178,0.1922,1.3619,0.5971,1.1762,0.2345,0.2166,0.8328,0.7855,1.0613,0.2109,0.2052,0.7792,0.6827,0.869,0.2145,0.1872,0.6467,0.536,0.9214,0.2072,0.2339,0.7762,0.3732,99.0,0.313,0.2995,2.9161,1.6659,99.0,2.289,1.527,2.363,1.665,3.077,0,0,0,0,0,0.28,0.35,0.02,0.03,0.02,7.37,7.37,7.37,7.37,7.37,10.56,10.56,10.56,10.56,10.56
NGVS-J124414.72+110913.1,191.0613166,11.153645,26.2545,26.2447,99.0,26.1041,25.9173,26.3862,26.2081,99.0,26.1412,26.1955,26.4961,26.1919,99.0,26.03,26.0315,26.5225,26.1867,99.0,25.9547,26.0299,26.4479,26.1832,99.0,25.7971,25.9941,26.3689,26.1381,99.0,25.6999,26.0194,26.6163,25.885,25.6754,25.3406,26.6396,0.2636,0.1348,0.5545,0.3283,0.8254,0.2462,0.1177,0.3871,0.3186,0.933,0.2494,0.1147,0.3516,0.2956,0.7731,0.2445,0.1178,0.3423,0.2924,0.7782,0.2283,0.1252,0.4192,0.2746,0.7843,0.2154,0.1289,0.4742,0.273,0.8457,0.3968,0.1787,0.3962,0.3481,2.4457,0.295,0.3192,12.3344,0.5453,0.9738,2.561,2.522,2.056,3.109,0.256,0,0,0,0,0,0.35,0.35,0.04,0.02,0.01,6.35,6.35,6.35,6.35,6.35,8.58,8.58,8.58,8.58,8.58
NGVS-J124414.80+110949.1,191.0616623,11.1636357,25.6445,25.8757,99.0,25.993,25.4996,25.6585,25.8722,99.0,25.6986,25.5437,25.6599,25.8775,99.0,25.6925,25.7775,25.6893,25.8654,99.0,25.7477,25.7342,25.6888,25.8561,99.0,25.8999,25.658,25.6317,25.8248,99.0,26.0281,25.7984,25.6196,25.7042,25.4546,25.7601,25.092,0.1528,0.0971,0.4012,0.2984,0.5647,0.1276,0.087,0.3466,0.2128,0.5125,0.1167,0.0861,0.3318,0.2171,0.6114,0.1146,0.0879,0.3469,0.242,0.5922,0.1143,0.0928,0.3952,0.3018,0.5747,0.1099,0.0968,0.4229,0.3693,0.6891,0.1589,0.1514,0.3232,0.5123,0.5875,0.2425,0.2254,0.2806,99.0,1.4577,2.68,2.159,3.75,1.849,1.669,0,0,0,0,0,0.35,0.35,0.05,0.07,0.0,5.81,5.81,5.81,5.81,5.81,7.92,7.92,7.92,7.92,7.92
NGVS-J124414.88+110845.3,191.0619906,11.1459267,25.3513,25.317,99.0,24.8513,24.7325,25.2367,25.2192,99.0,24.8411,24.8839,25.1972,25.1455,99.0,24.7788,24.9835,25.1652,25.0846,99.0,24.672,25.0647,25.1298,25.0567,99.0,24.6554,25.0865,25.0964,25.01,99.0,24.6834,25.0983,25.0668,24.9741,24.6361,24.6227,27.308,0.1162,0.0581,0.1445,0.1041,0.2763,0.0878,0.0485,0.1244,0.0977,0.2811,0.0765,0.0442,0.1193,0.0935,0.293,0.0716,0.0433,0.1199,0.0905,0.3208,0.0686,0.0446,0.1186,0.0959,0.3384,0.0678,0.0461,0.1202,0.1076,0.3628,0.0958,0.0774,0.1523,0.1798,4.5266,0.1623,0.1211,0.2321,0.2848,99.0,2.74,2.253,2.498,2.143,1.077,0,0,0,0,0,0.37,0.07,0.0,0.0,0.0,3.54,3.54,3.54,3.54,3.54,5.94,5.94,5.94,5.94,0.0
NGVS-J124414.89+110919.9,191.0620365,11.1555367,25.7817,25.9595,99.0,25.5191,99.0,25.7206,25.9396,99.0,25.4282,99.0,25.6599,25.8803,99.0,25.4721,99.0,25.6437,25.8467,99.0,25.4828,99.0,25.6712,25.8369,99.0,25.4237,99.0,25.6963,25.8639,99.0,25.3914,99.0,25.863,26.6525,27.0751,25.8429,99.0,0.1719,0.1039,0.2542,0.1919,0.6882,0.1359,0.0928,0.2233,0.167,0.938,0.1167,0.0861,0.2052,0.1769,1.0158,0.1105,0.0866,0.2205,0.1904,0.6604,0.1126,0.0911,0.2612,0.1948,0.6287,0.117,0.1004,0.2842,0.206,0.7332,0.1992,0.3621,1.4379,0.5534,99.0,29.0695,99.0,99.0,99.0,99.0,2.208,1.898,1.639,1.644,1.376,0,0,0,0,0,0.35,0.35,0.03,0.08,0.01,3.5,3.5,3.5,3.5,3.5,6.6,6.6,6.6,6.6,0.0
NGVS-J124414.89+110923.5,191.06205,11.1565178,26.991,25.8763,99.0,25.1297,99.0,26.4938,25.929,99.0,25.0572,99.0,26.3166,25.906,99.0,24.9682,99.0,26.398,25.8354,99.0,24.9935,99.0,26.5197,25.7478,99.0,25.0202,99.0,26.6957,25.718,99.0,25.0364,99.0,27.7715,25.6003,24.5728,25.0653,99.0,0.5181,0.0968,0.1324,0.1353,0.3799,0.272,0.0913,0.1227,0.1182,0.3372,0.212,0.0882,0.1167,0.1117,0.3114,0.2186,0.0855,0.1186,0.1212,0.3876,0.2443,0.0841,0.1207,0.1348,0.4379,0.2908,0.0877,0.1214,0.1484,0.364,1.1501,0.1375,0.1436,0.2702,99.0,99.0,0.7072,0.3653,1.8333,99.0,1.951,2.632,3.281,1.794,9.376,0,0,0,0,0,0.35,0.36,0.0,0.0,0.04,5.59,5.59,5.59,5.59,0.0,7.26,7.26,7.26,7.26,0.0
NGVS-J124414.90+110808.8,191.0620982,11.1357731,25.4587,25.5061,99.0,25.3109,24.7295,25.3752,25.372,99.0,25.2769,24.9224,25.2693,25.1993,99.0,25.1442,24.9153,25.2713,25.1005,99.0,25.0136,24.8397,25.2293,24.9843,99.0,24.8353,24.7948,25.1474,24.8856,99.0,24.7175,24.9912,24.9466,24.6984,24.3297,24.2974,26.0163,0.129,0.0696,0.1626,0.1595,0.2776,0.099,0.0554,0.1177,0.1446,0.2892,0.0823,0.0468,0.0973,0.1315,0.2771,0.0785,0.0439,0.093,0.1232,0.2597,0.0754,0.042,0.0907,0.1135,0.2596,0.0709,0.0411,0.0896,0.1107,0.3276,0.0858,0.0601,0.1147,0.1332,1.3746,0.163,0.1092,0.1649,0.2535,0.5987,3.457,3.093,3.164,3.992,1.512,0,0,0,0,0,0.35,0.05,0.0,0.0,0.0,4.92,4.92,4.92,4.92,4.92,6.6,6.6,6.6,6.6,6.6
NGVS-J124414.90+110818.4,191.0620777,11.1384511,26.3987,25.6133,99.0,25.1244,24.6841,26.2585,25.5199,99.0,25.0253,24.4769,26.176,25.4751,99.0,24.932,24.3204,26.1671,25.444,99.0,24.8415,24.2144,26.2192,25.4079,99.0,24.7347,24.1644,26.3269,25.3629,99.0,24.6574,24.1281,26.2634,25.4088,25.0469,24.8945,24.2881,0.3014,0.0766,0.1875,0.1346,0.2663,0.221,0.0636,0.1706,0.1157,0.1934,0.1862,0.0598,0.1629,0.108,0.1601,0.1777,0.0602,0.153,0.1058,0.1471,0.1853,0.0617,0.1445,0.1036,0.1455,0.2078,0.0636,0.1395,0.1051,0.1486,0.2872,0.1153,0.2222,0.231,0.2804,0.6223,0.3169,0.4655,0.7292,0.3149,1.978,2.177,2.555,2.371,2.453,0,0,0,0,0,0.35,0.05,0.05,0.0,0.0,3.5,3.5,3.5,3.5,3.5,5.94,5.94,5.94,5.94,5.94
NGVS-J124414.92+111000.5,191.0621627,11.1668122,26.0493,26.2006,99.0,25.8639,24.7996,25.983,25.9758,99.0,25.7374,24.798,25.9457,25.7799,99.0,25.4845,24.7406,25.8362,25.5515,99.0,25.1492,24.7227,25.7524,25.3579,99.0,24.9544,24.7444,25.7212,25.1991,99.0,24.8297,24.7366,25.2621,24.7805,25.1008,24.6383,25.151,0.2165,0.1279,0.4324,0.2607,0.2922,0.1709,0.0954,0.2604,0.2204,0.2583,0.1496,0.0779,0.1902,0.1776,0.2332,0.1312,0.0662,0.1685,0.1402,0.2343,0.1204,0.0587,0.1556,0.1262,0.2469,0.1193,0.0548,0.1552,0.1231,0.2597,0.1147,0.065,0.2338,0.1829,0.6215,0.9548,0.1937,99.0,99.0,99.0,4.091,3.488,2.733,3.024,1.95,0,0,0,0,0,0.35,0.35,0.06,0.0,0.0,3.5,3.5,3.5,3.5,3.5,6.6,6.6,6.6,6.6,0.0
NGVS-J124414.93+110745.8,191.062197,11.1293946,26.0258,25.8392,99.0,25.6098,99.0,26.1355,25.8624,99.0,25.5462,99.0,26.1545,25.8445,99.0,25.4976,99.0,26.1154,25.8119,99.0,25.4791,99.0,26.1226,25.826,99.0,25.4756,99.0,26.1984,25.8112,99.0,25.4702,99.0,26.338,26.0407,25.0246,25.969,99.0,0.216,0.0942,0.2361,0.2108,1.3384,0.1969,0.0863,0.2155,0.1856,2.6279,0.1827,0.0835,0.2018,0.1814,99.0,0.1691,0.0838,0.1853,0.1894,99.0,0.1697,0.0902,0.1842,0.2044,146.5947,0.1845,0.0955,0.2019,0.2212,4.7596,0.3073,0.2058,0.2174,0.6206,99.0,0.4091,0.3862,0.3065,2.0403,99.0,2.163,1.941,2.3,1.957,2.375,0,0,0,0,0,0.35,0.41,0.04,0.01,0.07,3.5,3.5,3.5,3.5,3.5,6.6,6.6,6.6,6.6,0.0
NGVS-J124414.94+111005.9,191.0622333,11.1683103,26.4057,24.3247,99.0,22.9399,22.6451,26.4688,24.3367,99.0,22.9168,22.6446,26.388,24.3614,99.0,22.9133,22.6685,26.4267,24.3724,99.0,22.9092,22.6745,26.5096,24.3831,99.0,22.9105,22.678,26.6803,24.3787,99.0,22.9162,22.6728,27.1064,24.421,23.4179,22.9858,22.7497,0.3025,0.0245,0.0325,0.0193,0.0415,0.266,0.0222,0.0282,0.0175,0.0363,0.226,0.0221,0.0269,0.0177,0.0355,0.2244,0.0229,0.0269,0.0185,0.0359,0.2419,0.0245,0.0281,0.0199,0.0374,0.2868,0.0261,0.0296,0.0216,0.0391,0.6243,0.0467,0.0497,0.0401,0.0682,99.0,0.1269,0.1061,0.0922,0.1909,1.906,1.842,2.061,1.717,2.157,0,0,0,0,0,0.35,0.69,0.0,0.2,0.0,3.5,3.5,3.5,3.5,3.5,5.28,5.28,5.28,5.28,5.28
NGVS-J124414.96+110800.7,191.0623318,11.1335266,27.079,26.6612,99.0,25.9894,99.0,26.9562,26.6725,99.0,25.897,99.0,27.0319,26.6468,99.0,25.7493,99.0,27.1253,26.6611,99.0,25.6241,99.0,27.147,26.6505,99.0,25.5573,99.0,27.0972,26.5527,99.0,25.5057,99.0,26.9325,26.2134,25.3961,25.142,99.0,0.5587,0.197,1.1595,0.2954,4.4117,0.4166,0.1807,1.2309,0.2558,3.2833,0.4058,0.173,0.6511,0.2274,54.5385,0.4271,0.1826,0.4329,0.2167,99.0,0.432,0.1912,0.4392,0.2194,99.0,0.4215,0.1889,0.4587,0.2288,99.0,0.5312,0.2415,0.3064,0.2897,99.0,99.0,0.6466,0.7432,0.3505,99.0,1.911,1.951,2.612,2.17,0.0,0,0,0,0,0,0.35,0.35,0.35,0.03,0.06,7.39,7.39,7.39,7.39,0.0,10.56,10.56,10.56,10.56,0.0
NGVS-J124414.96+111032.6,191.0623467,11.1757159,26.2042,25.8511,99.0,24.8356,24.0001,26.2419,25.7019,99.0,24.7433,24.0497,26.146,25.6539,99.0,24.6624,24.0675,26.0292,25.599,99.0,24.5957,24.0383,25.9696,25.5324,99.0,24.5705,24.0231,25.8987,25.4877,99.0,24.5514,23.9679,25.6793,25.3614,25.1357,24.4778,23.7174,0.2505,0.0937,0.1759,0.1027,0.1413,0.2162,0.0744,0.15,0.089,0.1301,0.1807,0.0699,0.1434,0.0844,0.1267,0.1559,0.0689,0.1442,0.0843,0.1246,0.1473,0.0689,0.153,0.0892,0.1278,0.1401,0.071,0.1619,0.0953,0.128,0.1678,0.1104,0.2411,0.1576,0.1658,0.1709,0.1199,0.7906,0.5156,0.2494,3.482,2.677,2.464,2.181,3.142,0,0,0,0,0,0.35,0.35,0.02,0.0,0.0,5.88,5.88,5.88,5.88,5.88,5.94,5.94,5.94,5.94,5.94
NGVS-J124414.98+110849.7,191.0624219,11.1471472,25.9465,26.4992,99.0,25.2526,26.1289,25.9249,26.3145,99.0,25.2454,25.7226,25.9366,26.1987,99.0,25.2442,25.6681,25.9097,26.1191,99.0,25.2237,26.0267,25.8359,26.0335,99.0,25.2015,26.4366,25.7708,25.9905,99.0,25.1531,26.652,25.5889,26.6621,99.0,25.0313,30.3572,0.1984,0.1689,0.2656,0.15,0.9967,0.1632,0.1306,0.2278,0.1415,0.6084,0.149,0.1146,0.2048,0.143,0.5498,0.1405,0.1111,0.2109,0.1502,0.7789,0.1304,0.1089,0.2581,0.1588,1.1763,0.1249,0.1126,0.2873,0.1654,1.5147,0.1545,0.3652,99.0,0.262,75.0544,0.3517,99.0,99.0,0.5577,99.0,2.343,2.351,1.853,1.564,1.736,0,0,0,0,0,0.35,0.35,0.02,0.04,0.08,3.5,3.5,3.5,3.5,0.0,5.94,5.94,5.94,5.94,5.94
NGVS-J124414.98+111018.7,191.0624309,11.1718491,25.1922,24.4386,99.0,23.7326,23.8396,25.1523,24.3523,99.0,23.6527,23.774,25.1046,24.2738,99.0,23.5663,23.7015,25.0267,24.2142,99.0,23.5007,23.659,24.9735,24.1691,99.0,23.4492,23.6393,24.9433,24.1373,99.0,23.4123,23.6047,24.7615,24.0708,23.554,23.3418,23.4796,0.1004,0.0268,0.0491,0.038,0.1214,0.0813,0.0226,0.0409,0.0335,0.1015,0.0706,0.0204,0.0372,0.0313,0.0905,0.0632,0.02,0.0365,0.0313,0.0883,0.0597,0.0202,0.0369,0.0321,0.0897,0.0591,0.0211,0.0377,0.0339,0.092,0.0726,0.0339,0.0564,0.0556,0.1334,0.1268,0.0712,0.1604,0.1139,0.3424,3.052,2.37,2.587,2.223,2.487,0,0,0,0,0,0.36,0.32,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,4.62,4.62,4.62,4.62,4.62
NGVS-J124414.99+110952.1,191.06247,11.1644774,25.5763,25.4309,99.0,25.4582,25.0112,25.4994,25.3718,99.0,25.2864,25.1412,25.5012,25.3296,99.0,25.1117,24.9864,25.5415,25.3035,99.0,24.981,24.7056,25.5505,25.2998,99.0,24.9365,24.5608,25.5152,25.2748,99.0,24.9987,24.4662,25.4894,25.3948,24.9144,25.0873,24.1648,0.1422,0.0645,0.1523,0.1809,0.3566,0.1113,0.0557,0.1401,0.1469,0.3564,0.1007,0.0522,0.1295,0.1269,0.294,0.1006,0.053,0.1244,0.1202,0.2309,0.1004,0.0558,0.1247,0.1242,0.2088,0.0992,0.0588,0.1335,0.1438,0.2029,0.1411,0.114,0.1967,0.2759,0.2504,0.3876,0.6462,0.2383,0.2664,0.4407,2.586,2.118,2.017,2.073,2.962,0,0,0,0,0,0.35,0.03,0.01,0.0,0.0,3.5,3.5,3.5,3.5,3.5,4.62,4.62,4.62,4.62,4.62
